time;oldLMMReading;newLMMReading
0;245;202
1;244;201
1;245;203
2;243;201
3;245;202
3;244;202
4;244;201
5;244;201
5;245;202
6;244;202
6;245;202
7;244;202
8;244;201
9;244;201
10;245;201
11;245;202
12;243;201
13;244;202
14;245;202
15;245;202
16;244;202
17;243;203
18;244;202
19;247;202
20;245;202
21;244;202
22;243;201
23;245;202
24;245;201
25;245;202
26;244;201
27;245;202
28;244;202
29;243;202
30;245;201
31;244;202
32;245;201
33;245;202
34;246;203
35;246;202
36;244;201
37;243;203
38;244;201
39;244;202
40;246;201
41;245;203
43;245;203
44;245;202
45;244;202
46;245;205
47;244;201
48;245;202
49;246;202
50;245;204
51;245;201
52;245;202
53;245;202
54;245;203
55;245;202
56;245;202
57;244;202
58;244;202
59;244;201
60;243;202
61;244;201
62;244;202
63;245;202
64;244;202
65;244;202
66;245;202
67;245;201
68;246;202
69;244;201
70;244;203
71;245;201
72;245;201
73;245;202
74;245;202
75;245;202
76;244;202
77;244;202
78;245;204
79;246;202
80;246;203
81;245;202
82;245;202
83;246;202
84;244;202
86;245;203
87;244;202
88;245;202
89;244;201
90;245;202
91;245;202
92;247;201
93;245;202
94;245;201
95;244;202
96;244;202
97;244;202
98;245;202
99;246;202
100;245;202
101;245;201
102;245;202
103;247;201
104;244;205
105;244;202
106;245;203
107;245;201
108;245;202
109;245;202
110;245;202
112;245;202
113;245;202
114;245;201
115;245;202
116;245;200
117;245;201
118;245;203
119;244;202
120;245;202
121;244;202
122;245;202
123;244;201
124;246;201
126;245;201
128;247;202
129;245;203
130;245;202
131;246;203
132;244;202
133;245;202
134;245;202
135;245;202
136;245;202
137;245;201
138;245;202
139;246;202
141;245;203
142;245;202
143;245;202
144;246;205
145;245;202
146;246;202
147;244;202
148;245;201
149;245;202
150;245;202
151;246;200
152;244;202
154;245;202
155;245;202
156;245;202
157;244;203
158;244;202
159;245;202
160;245;202
161;245;201
162;244;203
163;246;202
164;245;202
165;245;204
166;245;203
168;245;202
169;245;201
171;246;202
172;245;202
173;245;201
174;246;203
175;245;202
176;245;201
177;244;202
178;245;202
179;245;202
180;245;203
181;245;201
183;245;202
184;245;202
185;245;202
186;246;202
187;245;201
188;246;202
189;244;202
190;245;202
191;245;201
192;244;202
193;245;202
194;246;202
196;244;201
197;247;202
198;247;202
199;245;202
200;245;202
201;244;201
202;243;202
203;247;203
204;246;202
205;245;202
206;245;201
207;245;201
208;245;202
210;244;203
211;245;202
212;245;202
214;244;202
215;245;202
216;245;202
217;247;202
218;244;202
219;245;202
220;245;202
221;245;202
222;245;201
223;245;202
225;245;202
226;245;201
227;247;202
228;244;202
229;246;202
230;245;202
231;245;203
232;245;202
233;248;202
234;245;202
235;244;203
236;245;203
238;244;202
239;245;201
240;245;202
241;245;201
242;245;201
243;246;203
244;245;202
245;245;202
246;245;202
247;245;202
248;246;202
249;245;202
250;245;201
252;245;201
253;245;202
254;245;202
256;245;203
257;245;202
258;246;201
259;244;201
260;245;202
261;245;202
262;245;202
263;244;202
264;245;203
265;245;202
267;245;202
268;245;201
269;247;202
270;245;201
271;244;201
272;245;202
273;245;202
274;246;203
275;245;202
276;245;202
277;245;202
278;244;201
280;245;202
281;245;202
282;245;202
283;245;202
284;245;204
285;245;202
286;245;202
287;245;201
288;245;202
289;245;203
290;244;202
291;245;203
292;245;201
294;245;202
295;244;202
296;245;203
297;245;202
299;246;205
300;245;202
301;243;202
302;245;202
303;244;202
304;247;202
305;245;202
306;245;203
308;245;202
309;245;203
310;245;202
311;246;201
312;245;202
313;246;202
314;245;202
315;245;202
316;245;202
317;244;202
318;247;204
319;244;201
320;244;201
322;245;201
323;244;201
324;245;203
325;244;204
326;245;202
327;245;201
328;245;202
