Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digi-Key Part Number,MPN,Color,DNF,Info
1,"Unpolarized capacitor, small symbol",C_Small,C1 C2 C4 C5 C7 C8 C9 C10 C14 C16 C17 C18 C20 C21 C22 C23 C24,100nF,C_0805_2012Metric,17,https://www.yuden.co.jp/productdata/catalog/mlcc_all_hq_e.pdf,587-3508-1-ND,UMK212B7104KGHT,,,
2,"Unpolarized capacitor, small symbol",C_Small,C3 C6 C11 C12 C13 C15 C19 C25,10uF,C_0805_2012Metric,8,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=MCAST21GBB5106MTNA01&u=M,587-6440-1-ND,TMK212BBJ106MGHT,,,
3,"Light emitting diode, small symbol",LED_Small,D6,5V USB,LED_0805_2012Metric_Silkscreen_Text,1,https://www.we-online.com/katalog/datasheet/150080GS75000.pdf,732-4983-1-ND,150080GS75000,Green,,
4,"Schottky diode, small symbol",D_Schottky_Small,D2 D7 D11 D14,CDBA540-HF,D_SMA,4,https://media.digikey.com/pdf/Data%20Sheets/Comchip%20PDFs/CDBA540-HF-CDBA5200-HF_RevC.pdf,641-1707-1-ND,CDBA540-HF,,,
5,12V Clamp 3A (8/20µs) Ipp Tvs Diode Surface Mount SOT-26,D5V0F4U6SO-7,D12 D13,D5V0F4U6SO-7,SOT-23-6,2,https://www.diodes.com/assets/Datasheets/D5V0F4U6SO.pdf,D5V0F4U6SO-7DICT-ND,D5V0F4U6SO-7,,,
6,14V Clamp 7A (8/20µs) Ipp Tvs Diode Surface Mount SOT-26,DM1231,D8,DM1231,SOT-23-6,1,https://media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DM1231-02SO.pdf,DM1231-02SO-7DICT-ND,DM1231-02SO-7,,,
7,"Light emitting diode, small symbol",LED_Small,D1,ERROR,LED_0805_2012Metric_Silkscreen_Text,1,https://www.we-online.com/katalog/datasheet/150080RS75000.pdf,732-4984-1-ND,150080RS75000,Red,,
8,"Light emitting diode, small symbol",LED_Small,D4,LED1,LED_0805_2012Metric_Silkscreen_Text,1,https://www.we-online.com/katalog/datasheet/150080BS75000.pdf,732-4982-1-ND,150080BS75000,Blue,,
9,"Light emitting diode, small symbol",LED_Small,D3,LED2,LED_0805_2012Metric_Silkscreen_Text,1,https://www.mouser.de/datasheet/2/445/150080AS75000-1879102.pdf,732-150080AS75000CT-ND,150080AS75000,Amber,,
10,"Light emitting diode, small symbol",LED_Small,D5,PWR,LED_0805_2012Metric_Silkscreen_Text,1,https://www.we-online.com/katalog/datasheet/150080GS75000.pdf,732-4983-1-ND,150080GS75000,Green,,
11,"Light emitting diode, small symbol",LED_Small,D9,RX,LED_0805_2012Metric_Silkscreen_Text,1,https://www.we-online.com/katalog/datasheet/150080BS75000.pdf,732-4982-1-ND,150080BS75000,Blue,,
12,"Zener diode, small symbol",D_Zener_Small,D15,SMF18A,D_SOD-123F,1,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smf_datasheet.pdf.pdf,F5820CT-ND,SMF18A,,,
13,"Light emitting diode, small symbol",LED_Small,D10,TX,LED_0805_2012Metric_Silkscreen_Text,1,https://www.mouser.de/datasheet/2/445/150080AS75000-1879102.pdf,732-150080AS75000CT-ND,150080AS75000,Amber,,
